Index,year,month,day,latitude,longitude,zon.winds,mer.winds,humidity,air temp.,date
31783,1997,1,1,9.0,-140.2,-6.8,-1.5,88.2,25.81,1997-01-01
3120,1997,1,1,-0.04,165.1,2.4,0.1,78.9,28.06,1997-01-01
3650,1997,1,1,-0.02,-170.0,-5.3,-3.5,72.4,26.69,1997-01-01
4180,1997,1,1,0.0,-179.9,-4.4,-4.1,75.9,27.67,1997-01-01
4622,1997,1,1,0.1,-95.2,-1.0,2.3,97.6,,1997-01-01
1533,1997,1,1,0.04,147.0,,,84.8,27.34,1997-01-01
5028,1997,1,1,2.03,-110.1,,,90.3,,1997-01-01
5554,1997,1,1,1.98,-125.06,-3.5,2.5,89.6,22.92,1997-01-01
31252,1997,1,1,-8.02,-95.06,-5.6,1.9,86.3,23.06,1997-01-01
6459,1997,1,1,1.99,-140.0,-7.0,1.7,,24.12,1997-01-01
6990,1997,1,1,2.0,147.0,,,,,1997-01-01
7036,1997,1,1,1.98,-155.0,-6.9,-0.1,76.9,25.88,1997-01-01
7567,1997,1,1,2.03,156.0,4.1,0.8,83.6,27.97,1997-01-01
8021,1997,1,1,1.99,165.0,-2.9,-1.4,75.0,28.56,1997-01-01
8456,1997,1,1,1.99,-170.0,-5.7,-1.8,76.3,27.6,1997-01-01
30724,1997,1,1,-7.98,-179.9,2.0,-2.8,,27.9,1997-01-01
8989,1997,1,1,2.01,-179.8,-5.3,-2.2,75.2,28.34,1997-01-01
9394,1997,1,1,1.97,-95.0,-1.5,6.7,88.4,23.89,1997-01-01
9832,1997,1,1,-1.99,-110.06,,,88.8,21.0,1997-01-01
10228,1997,1,1,-2.05,-124.94,-4.7,0.6,,,1997-01-01
10763,1997,1,1,-2.01,-140.0,-7.7,-0.7,78.4,25.23,1997-01-01
30185,1997,1,1,-8.02,-170.0,3.3,-6.5,77.9,,1997-01-01
11299,1997,1,1,-1.98,-155.0,-6.7,-2.0,80.1,26.4,1997-01-01
1008,1997,1,1,0.01,-140.0,-7.4,-0.6,80.4,24.47,1997-01-01
11828,1997,1,1,-2.0,156.0,6.1,-3.1,79.3,27.61,1997-01-01
12364,1997,1,1,-1.93,164.4,6.2,0.5,82.5,28.48,1997-01-01
24908,1997,1,1,7.95,-155.0,-2.4,0.6,87.4,25.73,1997-01-01
26448,1997,1,1,8.01,-170.0,-2.6,-1.1,81.1,27.47,1997-01-01
2062,1997,1,1,-0.01,-155.0,-6.8,-1.3,79.7,25.6,1997-01-01
26986,1997,1,1,7.99,-179.8,-4.1,-1.0,83.0,27.77,1997-01-01
29648,1997,1,2,-8.04,164.9,,,83.2,28.47,1997-01-02
18308,1997,1,2,5.0,-179.9,,,79.8,28.38,1997-01-02
5029,1997,1,2,2.03,-110.1,,,91.1,,1997-01-02
17855,1997,1,2,4.97,-169.9,-5.3,1.2,72.6,28.31,1997-01-02
17318,1997,1,2,5.05,165.0,-2.1,-5.5,72.9,28.7,1997-01-02
2592,1997,1,2,0.0,156.1,5.7,-1.3,74.5,28.98,1997-01-02
1,1997,1,2,0.07,-110.0,-2.8,3.0,86.8,22.45,1997-01-02
16787,1997,1,2,5.0,156.1,-0.1,-1.0,74.6,29.1,1997-01-02
31253,1997,1,2,-8.02,-95.06,-5.4,3.1,84.1,22.95,1997-01-02
23872,1997,1,2,8.05,-110.2,-1.4,-1.4,,24.67,1997-01-02
16250,1997,1,2,5.0,-155.0,-7.6,0.4,79.1,26.69,1997-01-02
29124,1997,1,2,-8.27,-155.0,-2.5,-5.0,70.9,27.9,1997-01-02
15839,1997,1,2,4.95,147.0,,,78.8,28.64,1997-01-02
27510,1997,1,2,8.06,-94.94,,,82.2,25.23,1997-01-02
6460,1997,1,2,1.98,-140.0,-5.7,1.1,,24.1,1997-01-02
24909,1997,1,2,7.95,-155.0,-4.1,-0.2,87.0,26.38,1997-01-02
15339,1997,1,2,4.9,-139.9,-5.6,0.9,80.5,26.02,1997-01-02
18707,1997,1,2,5.09,-94.9,0.2,7.7,90.2,24.94,1997-01-02
489,1997,1,2,-0.24,-124.3,-2.7,1.3,,,1997-01-02
1534,1997,1,2,0.04,147.0,,,84.0,28.03,1997-01-02
28586,1997,1,2,-7.97,-125.0,-2.9,-3.4,78.2,25.4,1997-01-02
23357,1997,1,2,-5.0,-95.06,-4.9,4.0,82.8,22.92,1997-01-02
31784,1997,1,2,9.0,-140.2,-7.0,-5.6,80.5,26.0,1997-01-02
3121,1997,1,2,-0.04,165.1,1.7,-4.2,79.7,28.34,1997-01-02
22826,1997,1,2,-5.02,-179.9,5.8,-1.1,82.8,27.33,1997-01-02
22288,1997,1,2,-4.99,-170.0,-1.0,-6.1,72.1,27.88,1997-01-02
26987,1997,1,2,7.99,-179.8,-4.2,-3.4,81.0,28.31,1997-01-02
28048,1997,1,2,-8.06,-109.94,-4.3,-1.0,78.2,24.44,1997-01-02
3651,1997,1,2,-0.03,-170.0,-5.3,-1.9,71.9,26.81,1997-01-02
21750,1997,1,2,-4.99,165.2,,,,,1997-01-02
21365,1997,1,2,-5.01,156.0,6.4,0.5,76.2,29.02,1997-01-02
4181,1997,1,2,0.01,-179.9,-4.9,-3.8,76.3,27.58,1997-01-02
20834,1997,1,2,-4.98,-155.0,-5.1,-3.1,78.7,26.84,1997-01-02
20297,1997,1,2,-4.99,-139.9,-6.3,-4.0,74.8,25.84,1997-01-02
4623,1997,1,2,0.1,-95.2,-1.8,3.0,96.4,,1997-01-02
19761,1997,1,2,-5.02,-124.94,-3.6,-2.8,,24.77,1997-01-02
24409,1997,1,2,8.02,-125.0,-5.1,-5.5,77.2,26.31,1997-01-02
19225,1997,1,2,-4.99,-110.0,-4.7,1.0,84.0,23.1,1997-01-02
6991,1997,1,2,2.0,147.0,,,72.7,29.06,1997-01-02
14803,1997,1,2,5.12,-124.9,-1.7,1.5,,24.97,1997-01-02
5555,1997,1,2,1.98,-125.06,-2.8,2.0,88.8,22.77,1997-01-02
12881,1997,1,2,-2.16,-170.0,-4.1,-4.2,76.6,27.38,1997-01-02
12365,1997,1,2,-1.93,164.4,3.0,0.0,87.4,26.8,1997-01-02
10764,1997,1,2,-2.01,-140.0,-7.2,-2.7,73.5,25.05,1997-01-02
1009,1997,1,2,0.01,-140.0,-7.5,-1.7,77.2,24.34,1997-01-02
11300,1997,1,2,-1.97,-155.0,-6.3,-2.1,80.1,26.4,1997-01-02
30725,1997,1,2,-7.99,-179.9,4.9,-4.2,,28.77,1997-01-02
13409,1997,1,2,-2.01,-180.0,-2.1,-5.0,79.1,27.8,1997-01-02
8990,1997,1,2,2.01,-179.8,-5.2,-1.6,74.0,28.42,1997-01-02
10229,1997,1,2,-2.05,-124.94,-3.8,0.0,,,1997-01-02
8022,1997,1,2,2.0,165.0,-5.3,1.0,75.0,28.6,1997-01-02
8457,1997,1,2,1.99,-169.9,-5.7,-0.3,79.7,27.62,1997-01-02
7568,1997,1,2,2.02,156.0,2.9,-1.7,79.3,28.98,1997-01-02
2063,1997,1,2,-0.01,-155.0,-6.1,-2.2,81.3,25.48,1997-01-02
26449,1997,1,2,8.01,-170.0,-3.1,1.1,83.3,27.62,1997-01-02
13924,1997,1,2,-1.98,-95.0,-3.4,2.4,96.6,22.38,1997-01-02
9833,1997,1,2,-1.99,-110.06,,,86.2,20.92,1997-01-02
9395,1997,1,2,1.97,-95.0,-2.5,6.9,84.7,24.31,1997-01-02
7037,1997,1,2,1.98,-155.0,-7.0,-1.5,76.5,26.0,1997-01-02
14390,1997,1,2,5.04,-110.0,,,85.7,25.2,1997-01-02
30186,1997,1,2,-8.02,-170.0,4.1,-6.6,72.2,28.64,1997-01-02
11829,1997,1,2,-2.0,156.0,6.3,-1.3,75.8,28.84,1997-01-02
20835,1997,1,3,-4.98,-155.0,-4.7,-3.2,76.6,26.64,1997-01-03
10765,1997,1,3,-2.02,-140.0,-6.8,-2.9,71.4,24.84,1997-01-03
4182,1997,1,3,0.01,-179.9,-5.0,-1.5,74.7,27.42,1997-01-03
8458,1997,1,3,1.99,-170.0,-4.5,2.0,79.7,27.55,1997-01-03
30187,1997,1,3,-8.02,-170.0,4.6,-5.9,74.2,28.44,1997-01-03
28049,1997,1,3,-8.06,-109.94,-5.7,0.5,79.6,24.6,1997-01-03
20298,1997,1,3,-4.99,-139.9,-4.9,-4.3,73.6,25.58,1997-01-03
14391,1997,1,3,5.04,-109.94,,,84.2,24.97,1997-01-03
3652,1997,1,3,-0.02,-170.0,-4.9,-0.3,70.7,26.97,1997-01-03
26988,1997,1,3,7.99,-179.8,-3.8,-3.5,83.0,28.05,1997-01-03
21751,1997,1,3,-4.99,165.2,,,,,1997-01-03
30726,1997,1,3,-7.98,-179.9,4.8,1.0,,28.55,1997-01-03
10230,1997,1,3,-2.06,-124.94,-5.8,0.1,,,1997-01-03
22289,1997,1,3,-4.99,-170.0,0.2,-5.1,71.7,27.69,1997-01-03
8991,1997,1,3,2.01,-179.8,-5.3,0.4,74.0,28.34,1997-01-03
22827,1997,1,3,-5.02,-179.9,4.4,0.4,79.9,28.31,1997-01-03
3122,1997,1,3,-0.04,165.1,6.4,1.0,84.4,26.77,1997-01-03
9834,1997,1,3,-1.99,-110.06,,,84.5,20.92,1997-01-03
2,1997,1,3,0.07,-110.0,-5.2,3.3,85.2,22.14,1997-01-03
31785,1997,1,3,9.0,-140.2,-7.3,-3.3,78.2,25.95,1997-01-03
23358,1997,1,3,-5.01,-95.06,-4.9,5.0,74.5,23.05,1997-01-03
21366,1997,1,3,-5.01,156.0,1.9,-3.9,81.1,28.6,1997-01-03
4624,1997,1,3,0.1,-95.25,-2.3,3.6,94.0,,1997-01-03
28587,1997,1,3,-7.96,-125.06,-3.4,-4.1,76.5,25.25,1997-01-03
11301,1997,1,3,-1.97,-155.0,-6.6,0.0,78.9,26.12,1997-01-03
14804,1997,1,3,5.12,-124.9,-4.3,0.1,,25.44,1997-01-03
15340,1997,1,3,4.91,-139.9,-5.3,3.2,84.9,25.78,1997-01-03
13925,1997,1,3,-1.98,-95.0,-3.1,3.0,94.7,22.33,1997-01-03
6461,1997,1,3,1.99,-140.0,-5.2,1.7,,24.38,1997-01-03
7038,1997,1,3,1.99,-155.0,-7.5,0.4,75.2,25.72,1997-01-03
15840,1997,1,3,4.95,147.0,,,78.4,28.44,1997-01-03
29125,1997,1,3,-8.28,-155.0,-2.3,-3.9,69.0,27.88,1997-01-03
29649,1997,1,3,-8.04,164.9,,,85.7,28.08,1997-01-03
16251,1997,1,3,5.0,-154.9,-6.8,2.7,77.9,26.58,1997-01-03
5556,1997,1,3,1.98,-125.06,-4.2,2.4,88.4,22.88,1997-01-03
7569,1997,1,3,2.03,156.0,0.5,0.4,81.4,28.55,1997-01-03
13410,1997,1,3,-2.01,-180.0,-3.2,-3.8,77.0,27.88,1997-01-03
31254,1997,1,3,-8.03,-95.06,-5.5,4.9,77.1,22.88,1997-01-03
19762,1997,1,3,-5.02,-124.94,-5.3,-1.7,,24.81,1997-01-03
12882,1997,1,3,-2.16,-170.0,-3.1,-2.0,77.4,27.27,1997-01-03
12366,1997,1,3,-1.92,164.4,8.6,-0.1,82.5,27.98,1997-01-03
17319,1997,1,3,5.05,165.0,-2.3,-3.3,71.7,28.78,1997-01-03
17856,1997,1,3,4.97,-169.9,-3.8,1.8,72.2,28.4,1997-01-03
5030,1997,1,3,2.03,-110.1,,,86.4,,1997-01-03
11830,1997,1,3,-2.0,156.0,3.3,-3.4,77.7,27.16,1997-01-03
18309,1997,1,3,5.01,-179.9,,,80.6,28.58,1997-01-03
18708,1997,1,3,5.09,-94.9,3.6,3.5,93.5,24.12,1997-01-03
490,1997,1,3,-0.26,-124.4,-5.0,0.4,,,1997-01-03
1010,1997,1,3,0.0,-140.0,-6.6,-0.9,75.8,24.22,1997-01-03
1535,1997,1,3,0.04,147.0,,,80.7,28.7,1997-01-03
6992,1997,1,3,2.0,147.0,,,71.4,28.88,1997-01-03
8023,1997,1,3,1.99,165.0,-3.7,1.2,70.9,28.6,1997-01-03
19226,1997,1,3,-4.99,-110.0,-6.3,1.6,82.5,23.17,1997-01-03
16788,1997,1,3,5.0,156.1,-3.6,0.2,74.2,29.2,1997-01-03
23873,1997,1,3,8.05,-110.2,-2.7,3.2,,24.83,1997-01-03
9396,1997,1,3,1.97,-95.0,-2.1,6.4,82.7,24.19,1997-01-03
26450,1997,1,3,8.01,-170.0,-1.7,0.7,76.6,28.31,1997-01-03
27511,1997,1,3,8.05,-94.94,,,80.1,25.08,1997-01-03
24910,1997,1,3,7.96,-155.0,-4.2,0.0,87.8,26.66,1997-01-03
2593,1997,1,3,0.0,156.1,3.2,0.4,78.2,27.28,1997-01-03
2064,1997,1,3,-0.01,-155.0,-6.5,-1.1,78.5,25.48,1997-01-03
24410,1997,1,3,8.02,-125.0,-4.7,-6.0,76.0,26.0,1997-01-03
18709,1997,1,4,5.09,-94.9,2.2,2.0,90.6,24.67,1997-01-04
12367,1997,1,4,-1.92,164.4,5.4,-4.7,79.1,29.23,1997-01-04
27512,1997,1,4,8.05,-94.94,,,79.3,25.84,1997-01-04
22290,1997,1,4,-4.99,-170.0,-1.2,-6.0,74.1,27.77,1997-01-04
15841,1997,1,4,4.95,147.0,,,81.7,27.81,1997-01-04
20836,1997,1,4,-4.98,-155.0,-3.9,-1.9,73.7,26.52,1997-01-04
8459,1997,1,4,1.99,-169.9,-4.0,0.2,80.4,27.55,1997-01-04
17857,1997,1,4,4.97,-169.9,-2.6,-0.2,80.9,27.58,1997-01-04
14392,1997,1,4,5.04,-109.94,,,87.9,24.84,1997-01-04
3123,1997,1,4,-0.04,165.1,2.5,-5.1,77.0,28.42,1997-01-04
491,1997,1,4,-0.26,-124.4,-5.9,0.7,,,1997-01-04
22828,1997,1,4,-5.02,-179.9,6.2,3.9,82.0,27.48,1997-01-04
1536,1997,1,4,0.04,147.0,,,79.5,28.75,1997-01-04
29126,1997,1,4,-8.28,-155.0,-1.6,-3.6,69.0,27.88,1997-01-04
10766,1997,1,4,-2.02,-140.0,-7.2,-3.1,73.1,24.88,1997-01-04
20299,1997,1,4,-4.99,-139.9,-5.6,-3.5,74.8,25.58,1997-01-04
16252,1997,1,4,5.0,-154.9,-4.5,3.7,79.9,26.5,1997-01-04
4625,1997,1,4,0.1,-95.25,-3.1,2.5,89.2,,1997-01-04
30188,1997,1,4,-7.99,-170.0,4.4,-4.8,84.8,26.88,1997-01-04
7039,1997,1,4,1.99,-155.0,-5.4,0.7,74.0,25.48,1997-01-04
7570,1997,1,4,2.02,156.0,1.1,-3.4,77.4,29.17,1997-01-04
26989,1997,1,4,7.99,-179.9,-2.2,-3.6,91.8,26.47,1997-01-04
21367,1997,1,4,-5.01,156.0,6.8,-4.1,81.9,29.19,1997-01-04
24911,1997,1,4,7.95,-155.0,-1.1,4.0,88.6,26.58,1997-01-04
15341,1997,1,4,4.92,-139.9,-5.7,4.3,84.1,26.12,1997-01-04
2065,1997,1,4,0.0,-155.0,-5.3,-0.9,75.7,25.23,1997-01-04
8024,1997,1,4,2.0,165.0,-1.8,4.1,69.7,28.88,1997-01-04
14805,1997,1,4,5.13,-124.9,-5.2,5.7,,25.31,1997-01-04
29650,1997,1,4,-8.04,164.9,,,82.4,29.19,1997-01-04
1011,1997,1,4,0.0,-140.0,-7.1,0.5,74.6,24.55,1997-01-04
30727,1997,1,4,-7.99,-179.9,6.5,2.0,,28.38,1997-01-04
3653,1997,1,4,-0.03,-170.0,-4.5,-1.6,71.9,26.89,1997-01-04
18310,1997,1,4,5.0,-179.9,,,74.5,28.62,1997-01-04
11831,1997,1,4,-2.0,156.0,6.1,-4.5,78.1,29.05,1997-01-04
21752,1997,1,4,-4.99,165.2,,,,,1997-01-04
6993,1997,1,4,2.0,147.0,,,69.0,28.95,1997-01-04
4183,1997,1,4,0.0,-179.9,-3.5,-2.4,72.3,27.38,1997-01-04
6462,1997,1,4,2.0,-140.0,-5.2,2.3,,24.56,1997-01-04
5031,1997,1,4,2.03,-110.1,,,88.0,,1997-01-04
11302,1997,1,4,-1.97,-155.0,-4.5,-1.6,76.5,26.02,1997-01-04
26451,1997,1,4,8.01,-170.0,-1.5,-5.2,79.6,28.36,1997-01-04
13411,1997,1,4,-2.01,-180.0,-1.4,-3.1,81.6,26.88,1997-01-04
12883,1997,1,4,-2.16,-170.0,-3.7,-3.5,77.7,27.31,1997-01-04
19227,1997,1,4,-4.99,-110.0,-7.6,2.2,83.2,23.4,1997-01-04
13926,1997,1,4,-1.98,-95.0,-4.4,2.2,90.0,22.17,1997-01-04
31255,1997,1,4,-8.03,-95.1,-6.4,3.6,73.4,22.9,1997-01-04
23874,1997,1,4,8.05,-110.2,-2.4,2.8,,24.23,1997-01-04
19763,1997,1,4,-5.02,-124.94,-6.8,-1.4,,25.02,1997-01-04
9835,1997,1,4,-1.99,-110.06,,,85.3,21.3,1997-01-04
2594,1997,1,4,0.0,156.1,4.1,-3.8,73.7,28.98,1997-01-04
16789,1997,1,4,5.01,156.1,-2.3,-2.6,72.3,29.3,1997-01-04
17320,1997,1,4,5.05,165.0,-2.4,-3.8,74.1,28.94,1997-01-04
3,1997,1,4,0.07,-110.0,-5.7,1.6,86.8,22.19,1997-01-04
9397,1997,1,4,1.98,-95.0,-1.9,4.1,81.5,23.77,1997-01-04
24411,1997,1,4,8.03,-125.0,-3.4,-3.8,80.5,25.81,1997-01-04
5557,1997,1,4,1.98,-125.06,-5.9,2.8,87.3,22.95,1997-01-04
28588,1997,1,4,-7.97,-125.0,-5.0,-4.0,78.2,25.44,1997-01-04
23359,1997,1,4,-5.01,-95.06,-5.7,2.7,71.5,22.64,1997-01-04
8992,1997,1,4,2.01,-179.8,-4.4,-0.3,69.0,28.1,1997-01-04
28050,1997,1,4,-8.06,-109.94,-7.9,2.1,79.6,24.95,1997-01-04
10231,1997,1,4,-2.06,-124.94,-6.9,0.7,,,1997-01-04
31786,1997,1,4,9.0,-140.2,-8.0,-4.2,82.4,25.84,1997-01-04
13412,1997,1,5,-2.01,-180.0,0.3,-4.6,78.3,27.16,1997-01-05
31256,1997,1,5,-8.02,-95.06,-4.4,3.1,73.8,22.8,1997-01-05
30189,1997,1,5,-8.02,-170.0,4.2,-8.0,75.4,28.12,1997-01-05
10767,1997,1,5,-2.02,-140.0,-6.8,-2.9,74.7,24.61,1997-01-05
6994,1997,1,5,2.0,147.0,,,72.4,28.9,1997-01-05
26452,1997,1,5,8.01,-170.0,-4.7,-3.2,83.0,28.17,1997-01-05
17321,1997,1,5,5.05,165.0,-4.5,-4.5,79.4,28.9,1997-01-05
4,1997,1,5,0.07,-110.0,-5.1,1.5,83.6,22.34,1997-01-05
31787,1997,1,5,9.0,-140.2,-6.7,-2.3,80.5,26.2,1997-01-05
11303,1997,1,5,-1.97,-155.0,-4.7,-1.8,73.8,26.12,1997-01-05
22829,1997,1,5,-5.03,-179.9,7.1,-2.0,78.7,28.36,1997-01-05
4184,1997,1,5,0.01,-179.9,-2.7,-2.5,70.7,27.34,1997-01-05
5032,1997,1,5,2.03,-110.1,,,86.8,,1997-01-05
13927,1997,1,5,-1.98,-95.0,-1.6,3.2,93.5,21.78,1997-01-05
16790,1997,1,5,5.0,156.1,0.7,-4.9,81.1,28.23,1997-01-05
19228,1997,1,5,-4.99,-110.0,-7.4,2.2,78.6,23.3,1997-01-05
6463,1997,1,5,1.99,-140.0,-6.1,1.2,,24.94,1997-01-05
19764,1997,1,5,-5.02,-125.0,-7.3,-1.7,,25.08,1997-01-05
8025,1997,1,5,1.99,165.0,3.2,4.7,73.0,28.8,1997-01-05
23875,1997,1,5,8.04,-110.2,-2.1,-3.6,,25.23,1997-01-05
11832,1997,1,5,-2.0,156.0,6.4,-2.1,80.5,28.12,1997-01-05
21753,1997,1,5,-4.99,165.2,,,,,1997-01-05
9836,1997,1,5,-1.99,-110.06,,,84.9,21.12,1997-01-05
16253,1997,1,5,5.01,-154.9,-5.9,2.4,85.0,26.06,1997-01-05
1012,1997,1,5,0.0,-140.0,-5.7,0.4,80.4,24.39,1997-01-05
3654,1997,1,5,-0.02,-170.0,-3.5,-0.3,73.2,27.1,1997-01-05
30728,1997,1,5,-7.99,-179.9,6.6,1.4,,27.94,1997-01-05
2595,1997,1,5,0.0,156.1,2.8,-4.1,73.2,29.1,1997-01-05
18311,1997,1,5,5.0,-179.9,,,72.5,28.27,1997-01-05
7040,1997,1,5,1.99,-155.0,-5.9,0.1,75.6,25.64,1997-01-05
15342,1997,1,5,4.92,-139.9,-6.4,0.2,88.2,25.78,1997-01-05
18710,1997,1,5,5.09,-94.9,1.9,1.6,93.1,,1997-01-05
20300,1997,1,5,-4.99,-139.9,-5.2,-3.2,76.8,25.77,1997-01-05
8993,1997,1,5,2.02,-179.8,-2.8,-0.2,70.3,27.94,1997-01-05
29127,1997,1,5,-8.28,-155.0,-1.9,-3.6,69.3,28.06,1997-01-05
1537,1997,1,5,0.04,147.0,,,79.9,28.95,1997-01-05
3124,1997,1,5,-0.04,165.1,1.1,-3.2,79.7,28.03,1997-01-05
492,1997,1,5,-0.25,-124.3,-7.0,0.1,,,1997-01-05
9398,1997,1,5,1.98,-95.0,-0.1,6.1,88.0,23.23,1997-01-05
23360,1997,1,5,-5.01,-95.06,-4.1,2.3,74.9,22.4,1997-01-05
28589,1997,1,5,-7.97,-125.0,-6.5,-4.4,77.8,25.64,1997-01-05
17858,1997,1,5,4.98,-169.9,-1.8,-2.1,87.1,26.84,1997-01-05
24912,1997,1,5,7.96,-155.0,-5.8,1.3,85.7,26.97,1997-01-05
12884,1997,1,5,-2.16,-170.0,-2.6,-3.1,76.3,27.42,1997-01-05
28051,1997,1,5,-8.06,-109.94,-7.5,2.2,77.4,24.62,1997-01-05
14393,1997,1,5,5.04,-109.94,,,89.4,24.73,1997-01-05
7571,1997,1,5,2.02,156.0,1.1,-4.8,77.1,29.44,1997-01-05
29651,1997,1,5,-8.04,164.9,,,83.6,28.98,1997-01-05
2066,1997,1,5,-0.01,-155.0,-5.3,-1.3,73.6,25.31,1997-01-05
21368,1997,1,5,-5.01,156.0,8.4,-4.8,81.1,28.9,1997-01-05
10232,1997,1,5,-2.05,-124.94,-6.9,-0.9,,,1997-01-05
26990,1997,1,5,7.99,-179.8,-1.6,-3.7,81.8,27.8,1997-01-05
8460,1997,1,5,1.99,-169.9,-2.7,1.7,83.8,27.81,1997-01-05
12368,1997,1,5,-1.93,164.4,3.2,-4.4,79.9,29.2,1997-01-05
14806,1997,1,5,5.13,-124.9,-6.4,4.7,,25.52,1997-01-05
5558,1997,1,5,1.97,-125.06,-6.7,1.5,84.9,22.92,1997-01-05
15842,1997,1,5,4.95,147.0,,,76.7,28.69,1997-01-05
27513,1997,1,5,8.05,-94.94,,,79.3,26.0,1997-01-05
4626,1997,1,5,0.11,-95.25,-0.8,4.5,89.2,,1997-01-05
20837,1997,1,5,-4.97,-155.0,-3.6,-2.8,71.7,26.56,1997-01-05
24412,1997,1,5,8.03,-125.0,-4.0,4.2,80.9,25.17,1997-01-05
22291,1997,1,5,-4.99,-170.0,0.2,-5.6,72.5,27.84,1997-01-05
26991,1997,1,6,7.99,-179.8,-3.8,-4.5,83.0,28.4,1997-01-06
1013,1997,1,6,0.0,-140.0,-4.9,0.4,84.0,24.23,1997-01-06
14807,1997,1,6,5.12,-124.9,-5.6,2.1,,25.52,1997-01-06
13928,1997,1,6,-1.98,-95.0,-0.6,3.1,95.4,22.12,1997-01-06
29652,1997,1,6,-8.04,164.9,,,83.2,28.75,1997-01-06
28052,1997,1,6,-8.06,-109.94,-5.9,1.3,75.6,24.48,1997-01-06
28590,1997,1,6,-7.97,-125.0,-6.3,-4.6,80.2,25.69,1997-01-06
19229,1997,1,6,-4.99,-110.0,-5.4,0.4,79.0,23.17,1997-01-06
493,1997,1,6,-0.25,-124.3,-5.8,-0.7,,,1997-01-06
12885,1997,1,6,-2.17,-170.0,-5.0,-3.5,78.9,27.31,1997-01-06
14394,1997,1,6,5.04,-109.94,,,90.9,24.48,1997-01-06
13413,1997,1,6,-2.01,-180.0,-1.5,-2.8,73.7,27.88,1997-01-06
4627,1997,1,6,0.11,-95.25,0.1,4.6,92.0,,1997-01-06
24413,1997,1,6,8.03,-125.0,-4.7,1.4,73.5,26.12,1997-01-06
12369,1997,1,6,-1.93,164.4,1.9,-0.3,78.0,28.92,1997-01-06
20838,1997,1,6,-4.98,-155.0,-2.7,-2.4,74.6,26.64,1997-01-06
2067,1997,1,6,-0.01,-155.0,-5.0,-0.3,74.9,25.23,1997-01-06
20301,1997,1,6,-5.0,-139.9,-3.9,-3.0,76.8,25.58,1997-01-06
18711,1997,1,6,5.09,-94.9,3.4,3.6,94.7,24.86,1997-01-06
7041,1997,1,6,1.99,-155.0,-5.4,1.1,72.3,25.64,1997-01-06
1538,1997,1,6,0.04,147.0,,,79.9,28.9,1997-01-06
19765,1997,1,6,-5.02,-124.94,-7.0,-2.4,,25.05,1997-01-06
5,1997,1,6,0.08,-110.0,-3.5,3.7,85.2,22.19,1997-01-06
